brand_name,categories,sales_start,sales_end,primary_city,all_cities,country,region,address,phone,email,instagram,facebook,description,source_url,lead_id,scraped_date
Sales Department,N/A,N/A,N/A,Milan,Milan,Italy,Europe,"Avenue - NY 10019 Linked to the aesthetic innovation and technical invention that has always changed the identity of knitwear,",41 20121,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/massimobonini,DS0036,2025-11-13
Paola Zavattoni,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,42 20129,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroompapaveri,DS0037,2025-11-13
Francesca Casati,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,34 20139,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/himco,DS0038,2025-11-13
Alessandra Chiara Guffanti,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,37 20122,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/guffanti,DS0039,2025-11-13
Facebook Instagram,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue de Turenne 75003 Paris Ozgur Masur has a unique take on haute couture with its elegant and highly feminine silhouettes.,+90 533 430 4828,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showappshowroom,DS0040,2025-11-13
Silvia Alessia,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,+39 02 54 09 02 01,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/elisagaito,DS0041,2025-11-13
Facebook Instagram,N/A,N/A,N/A,Milan,Milan,Italy,Europe,"Via Pietro Colletta, 69 20137 Milan + Opening hours: 10am to 5pm Federico Munari (The Parlor Showroom) P : +39 (0)2 89 69 49",69 20137,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/the_parlor_showroom,DS0042,2025-11-13
Sales Department,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,+39 02 55 01 59 97,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/breramode,DS0043,2025-11-13
Talk Studio,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue de Turenne 75003 Paris Far from the mainstream and with a natural penchant for everything that is new. In continuous evo,+33 (0)1 40 28 17 90,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/talkstudio,DS0044,2025-11-13
Beams Boy,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue de la Fontaine au Roi (1st Floor) 75011 Paris Business Hours: 9:00 am - 6:00 pm (last appointment 5 pm) *First day: 10:0,+81 (0)80 16 10 32 09,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_boy_fashion_brand,DS0045,2025-11-13
Beams Japan,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue de la Fontaine au Roi (1st Floor) 75011 Paris Business Hours: 9:00 am - 6:00 pm (last appointment 5:00 pm) *First day: 1,+81 (0)80 1610 3209,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_japan_fashion_brand,DS0046,2025-11-13
The Parlor Showroom,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,N/A,N/A,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/the_parlor_showroom,DS0047,2025-11-13
Bokja,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,"Rue des Quatre-Fils 16, 75003 Marais Bokja is a Beirut-based design studio, crafting meaningful narratives through embroider",+39 02 55 01 59 97,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/bokja_fashion,DS0048,2025-11-13
Breramode,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,"Rue des Quatre-Fils 16, 75003 Marais Bokja is a Beirut-based design studio, crafting meaningful narratives through embroider",+39 02 55 01 59 97,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/breramode,DS0049,2025-11-13
ByCookieH.,Women's RTW,N/A,N/A,Paris,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/by_cookie_h_brand,DS0050,2025-11-13
Massimo Bonini Showroom,N/A,N/A,N/A,Paris,Paris,France,Europe,"Avenue - NY 10019 MAIN COLLECTIONS SS25 September 16 - October 16, 2024 + NEW YORK Massimo Bonini Showroom September 3 - Octobe",41 20121,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/massimobonini,DS0051,2025-11-13
Cazabat,Women's Accessories,N/A,N/A,Paris,Paris,France,Europe,"Rue Boissy d'Anglas 75008 Paris Daphné Rudler Mobile: +39 335 199 76 92 Instagram Women's Accessories : Shoes, Scarves",+39 335 199 76 92,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jeanmichelcazabat,DS0052,2025-11-13
Heda Showroom,"Women's RTW, Men's RTW",N/A,N/A,Milan,Milan,Italy,Europe,N/A,31 20137,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/hedashowroom,DS0053,2025-11-13
DMVB,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,N/A,38 20129,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/dmvb,DS0054,2025-11-13
Studio Zeta,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,N/A,26 20135,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,DS0055,2025-11-13
Done!,"Men's Accessories, Women's Accessories",N/A,N/A,Milan,Milan,Italy,Europe,N/A,69 20137,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/done,DS0056,2025-11-13
Fattore K House,"Men's Accessories, Women's Accessories",N/A,N/A,Milan,Milan,Italy,Europe,N/A,20 20143,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/fattorekhouse,DS0057,2025-11-13
Daniele Ghiselli Showroom,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,N/A,19 20129,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/danieleghiselli,DS0058,2025-11-13
Inoui Editions,N/A,N/A,N/A,Paris,Paris,France,Europe,"Rue Montmartre 75002 Paris Founded in 2009 bi Lisa and Mathilde, Inoui Editions is a line of printed scarves, each telling a",+33 6 86 22 81 86,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/inouieditions,DS0059,2025-11-13
International Gallery Beams,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue de la Fontaine au Roi (1st Floor) 75011 Paris Business Hours: 9:00 am - 6:00 pm (last appointment 5:00 pm) *First day: 1,+81 (0)80 16 10 32 09,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/beams_fashion_brand,DS0060,2025-11-13
Isabel Benenato,Men's RTW,N/A,N/A,Milan,Milan,Italy,Europe,"Rue du Perche - 75003 CHICAGO August 03 - 06, 2024 THE MART 222 Merchandise Mart Plaza 7th Floor Market Suites 60654 Chicago",5 - 20144,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/isabelbenenato,DS0061,2025-11-13
Jean-François Mimilla,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue Barrault 75013 Paris + TOKYO – dates TBC Boutique W Showroom 5-39-3 Jungumae Shibuya - 150-0001 Tomoya - Ph:+81 357 787,- 150-0001,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/jeanfrancoismimilla,DS0062,2025-11-13
Kohshin Satoh,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue Quincampoix 75003 Paris From 10am to 7pm - By Appointment Only Kohshin Satoh established Arrston Volaiu in 1975. He attr,+81 (3) 6805 1412,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/kohshin_satoh,DS0063,2025-11-13
Kuboraum/Innerraum,N/A,N/A,N/A,Paris,Paris,France,Europe,"Rue des Gravilliers 75003 Paris + KUBORAUM - DREAMED IN BERLIN, HANDMADE IN ITALY. Kuboraum was founded in 2012 in Berlin as",+39 342 3740467,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/kuboraum,DS0064,2025-11-13
Showroom Marcona3,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,N/A,+39 02 54 12 03 59,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroommarcona3,DS0065,2025-11-13
Marc Le Bihan,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue Barrault 75013 Paris + TOKYO – dates TBC Boutique W Showroom 5-39-3 Jungumae Shibuya - 150-0001 Tomoya - Ph:+81 357 787,- 150-0001,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/marclebihan,DS0066,2025-11-13
Guffanti Concept Showroom,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,37 20122,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/guffanti,DS0067,2025-11-13
Melissa Odabash,Women's RTW,N/A,N/A,Paris,Paris,France,Europe,Rue Etienne Marcel 75002 - LONDON + Permanent London Showroom 22 Bruton Street W1J 6QE Victoria Tobin P : +44 (0)20 74 99 91,+44 (0)20 74 99 91 29,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/melissa_odabash,DS0068,2025-11-13
Monsieur Charli,N/A,N/A,N/A,Paris,Paris,France,Europe,"Rue Bichat 75010 Paris Until July 25, 2024 August 20 - September 15, 2024 By creating Monsieur Charli in 2012, Virginie Lepr",+33 06 64 32 60 73,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/monsieurcharli,DS0069,2025-11-13
LAB fashion agency,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,7 - 20144,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/lab_fashion_agency_multibrand_kid_showroom,DS0070,2025-11-13
Papaveri Showroom,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,N/A,42 20129,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroompapaveri,DS0071,2025-11-13
HIM Co,Women's Accessories,N/A,N/A,Milan,Milan,Italy,Europe,N/A,34 20139,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/himco,DS0072,2025-11-13
Noon By Noor,Women's RTW,N/A,N/A,Paris,Paris,France,Europe,Avenue Hoche 75008 Paris From 9.30 am to 6:00 pm + Digital on JOOR Liana Farini (Middle East Sales) Mobile: +973 38 11 12 60 Ju,+973 38 11 12 60,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/noon-by-noor,DS0073,2025-11-13
Ozgur Masur,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue de Turenne 75003 Paris Ozgur Masur has a unique take on haute couture with its elegant and highly feminine silhouettes.,+90 533 430 4828,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/ozgur-masur,DS0074,2025-11-13
Showapp Showroom,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue de Turenne 75003 Paris Ozgur Masur has a unique take on haute couture with its elegant and highly feminine silhouettes.,+90 533 430 4828,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showappshowroom,DS0075,2025-11-13
Elisa Gaito,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,N/A,+39 02 54 09 02 01,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/elisagaito,DS0076,2025-11-13
Patrick Cupid,N/A,N/A,N/A,Paris,Paris,France,Europe,N/A,+1 917 915 0647,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/patrick-cupid,DS0077,2025-11-13
Point di Mariapia Bernardis and co.,"Women's RTW, Men's RTW",N/A,N/A,Milan,Milan,Italy,Europe,N/A,13 20129,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/point,DS0078,2025-11-13
Rallegrati,Women's RTW,N/A,N/A,Milan,Milan,Italy,Europe,"Via Pietro Colletta, 69 20137 Milan + Opening hours: 10am to 5pm Federico Munari (The Parlor Showroom) P : +39 (0)2 89 69 49",69 20137,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rallegrati_fashion_brand,DS0079,2025-11-13
Ron Dorff,N/A,N/A,N/A,Paris,Paris,France,Europe,N/A,+44 7387 276 256,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rondorff,DS0080,2025-11-13
Rosa Maria,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue Stanislas - 75006 By Appointment Only Rosa Maria's creations are made from a mix of silver and gold combined with a wild,+961 (0)3 65 22 36,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/rosamaria,DS0081,2025-11-13
Roberta Sales Contact,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,+39 02 55 01 59 97,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/breramode,DS0082,2025-11-13
Jordana Scott,N/A,N/A,N/A,Paris,Paris,France,Europe,"Street - 5th Floor NY 10003 New York + MILAN – Sept. 21 - 25, 2023 via San Primo 4 20121 Milano + PARIS – Sept. 28 - Oct. 04, 2",+44 (0)2 03 75 79 340,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/pollykingandco,DS0083,2025-11-13
Gas Isaj Orges Isaj,N/A,N/A,N/A,Paris,Paris,France,Europe,N/A,26 20135,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,DS0084,2025-11-13
"Épice ParisM's Acc., W's Acc.",N/A,N/A,N/A,Paris,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/fashion-brands/references/epiceparis,DS0085,2025-11-13
Sales Department,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,N/A,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/tomorrow,DS0086,2025-11-13
Ludovica Bello Elena Pogodaeva,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,37 20143,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/marzianobello,DS0087,2025-11-13
Alessandra Chiara Guffanti Sales Contact,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,37 20122,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/guffanti,DS0088,2025-11-13
Sales Contact,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,N/A,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroommarcona3,DS0089,2025-11-13
Nemozena. Gas Isaj Orges Isaj,N/A,N/A,N/A,Paris,Paris,France,Europe,N/A,26 20135,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/studiozeta,DS0090,2025-11-13
Sales Contact,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,41 20121,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/massimobonini,DS0091,2025-11-13
Facebook Twitter Instagram,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue de Turenne 75003 Paris From 9.00am to 6:00pm Showroom Online Access Sign In Liana Farini (Middle East Sales) Mobile: +97,+973 3811 1260,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/pollykingandco,DS0092,2025-11-13
Yuki Terase Matt Whyte,N/A,N/A,N/A,Paris,Paris,France,Europe,Rue d'Uzès 75002 Paris P : +44 (0) 20 70 33 38 15 Yuki Terase Matt Whyte,+44 (0) 20 70 33 38 15,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/papermachetiger,DS0093,2025-11-13
Paris Silvia Alessia,N/A,N/A,N/A,Paris,Paris,France,Europe,N/A,N/A,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/elisagaito,DS0094,2025-11-13
Instagram,N/A,N/A,N/A,Paris,Paris,France,Europe,N/A,+33 (0)6 58 18 61 48,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/other_wise,DS0095,2025-11-13
Italy. Sales Contact,N/A,N/A,N/A,Milan,Milan,Italy,Europe,N/A,N/A,N/A,N/A,N/A,,https://www.modemonline.com/fashion/mini-web-sites/multilabel-showrooms/references/showroommarcona3,DS0096,2025-11-13
